relation	raw_p	few_p	p inc	raw_type_p	few_type_p	t inc
P1001	83.3095577746077	83.45221112696149	0.14265335235378984	94.43651925820257	90.29957203994294	-4.136947218259621
P101	18.39080459770115	17.816091954022987	-0.5747126436781613	99.13793103448276	99.71264367816092	0.5747126436781542
P103	83.82804503582395	91.60696008188332	7.7789150460593675	93.65404298874104	93.34698055271238	-0.3070624360286587
P106	22.23382045929019	27.870563674321502	5.636743215031313	83.50730688935282	99.89561586638831	16.388308977035493
P108	6.266318537859008	10.966057441253264	4.699738903394256	97.38903394255874	99.21671018276763	1.8276762402088877
P127	50.65502183406114	49.34497816593886	-1.310043668122276	95.34206695778748	95.7787481804949	0.4366812227074206
P1303	27.291886195995787	57.955742887249734	30.663856691253947	51.949420442571125	86.40674394099052	34.4573234984194
P131	41.543700340522136	39.38706015891033	-2.156640181611806	97.27582292849036	97.50283768444949	0.22701475595913223
P136	60.687432867884	78.19548872180451	17.50805585392051	96.13319011815253	74.86573576799141	-21.267454350161117
P1376	81.97424892703863	74.2489270386266	-7.725321888412026	99.14163090128756	100.0	0.8583690987124442
P138	72.27414330218069	71.18380062305296	-1.0903426791277298	98.4423676012461	97.66355140186916	-0.7788161993769478
P140	66.17336152219873	89.00634249471459	22.832980972515855	97.04016913319239	99.78858350951374	2.7484143763213496
P1412	76.78018575851394	83.38493292053664	6.604747162022704	89.2672858617131	88.33849329205367	-0.9287925696594357
P159	40.5377456049638	38.779731127197515	-1.758014477766288	99.37952430196484	97.82833505687694	-1.5511892450878975
P17	59.13978494623656	52.043010752688176	-7.096774193548384	97.31182795698925	94.3010752688172	-3.0107526881720474
P176	88.0781089414183	88.28365878725592	0.20554984583762348	91.983556012333	93.11408016443988	1.1305241521068865
P178	69.71235194585448	65.82064297800338	-3.891708967851102	89.5093062605753	94.9238578680203	5.414551607445006
P19	22.35169491525424	20.550847457627118	-1.8008474576271212	96.71610169491525	99.57627118644068	2.8601694915254257
P190	2.1169354838709675	3.4274193548387095	1.310483870967742	96.16935483870968	99.8991935483871	3.7298387096774235
P20	36.306400839454355	33.5781741867786	-2.728226652675758	99.79013641133264	99.3704092339979	-0.4197271773347353
P264	50.116550116550115	78.08857808857809	27.972027972027973	99.76689976689977	85.31468531468532	-14.452214452214449
P27	51.65631469979296	55.383022774327124	3.726708074534166	97.30848861283644	96.8944099378882	-0.414078674948243
P276	45.511482254697285	45.82463465553236	0.31315240083507234	99.68684759916492	98.64300626304802	-1.0438413361168983
P279	60.995850622406635	61.09958506224066	0.10373443983402808	93.56846473029046	95.4356846473029	1.8672199170124486
P30	75.38461538461539	83.28205128205128	7.897435897435898	91.07692307692308	91.28205128205128	0.2051282051282044
P31	65.50976138828634	61.17136659436009	-4.338394793926248	91.97396963123644	92.62472885032538	0.6507592190889397
P36	66.66666666666667	63.24786324786325	-3.418803418803421	98.2905982905983	97.57834757834758	-0.7122507122507216
P361	39.91416309012875	42.38197424892704	2.467811158798284	95.49356223175965	95.49356223175965	0.0
P364	53.85514018691589	64.25233644859813	10.39719626168224	97.89719626168224	97.89719626168224	0.0
P37	67.70186335403727	61.387163561076605	-6.314699792960667	95.54865424430642	84.9896480331263	-10.559006211180119
P39	37.66816143497758	77.24215246636771	39.573991031390136	97.19730941704036	89.68609865470852	-7.511210762331842
P407	72.86202964652223	75.7126567844926	2.8506271379703634	94.75484606613455	93.04446978335234	-1.7103762827822067
P413	41.911764705882355	59.45378151260504	17.542016806722685	100.0	100.0	0.0
P449	36.13636363636363	78.06818181818181	41.93181818181818	94.43181818181819	96.47727272727273	2.0454545454545467
P463	61.77777777777778	60.0	-1.7777777777777786	96.0	97.77777777777777	1.7777777777777715
P47	26.847826086956523	24.456521739130434	-2.3913043478260896	94.02173913043478	93.3695652173913	-0.6521739130434838
P495	40.15401540154016	41.47414741474147	1.3201320132013166	99.22992299229924	97.9097909790979	-1.3201320132013308
P527	24.59016393442623	25.81967213114754	1.2295081967213122	94.4672131147541	96.92622950819673	2.4590163934426243
P530	3.4136546184738954	3.0120481927710845	-0.4016064257028109	97.28915662650603	97.28915662650603	0.0
P740	14.850427350427351	15.705128205128204	0.8547008547008534	87.71367521367522	99.67948717948718	11.965811965811966
P937	44.129979035639415	44.339622641509436	0.20964360587002062	99.895178197065	100.0	0.10482180293500676
