relation_id	relation_label	inc	unchange	dec	inc_per	unchange_per	dec_per
P1001	applies to jurisdiction	135	434	132	19.258202567760343	61.911554921540656	18.830242510699
P101	field of work	220	225	251	31.60919540229885	32.327586206896555	36.0632183908046
P103	native language	170	704	103	17.400204708290687	72.05731832139202	10.542476970317297
P106	occupation	431	191	336	44.98956158663883	19.937369519832984	35.07306889352818
P108	employer	84	71	228	21.93211488250653	18.5378590078329	59.530026109660575
P127	owned by	220	219	248	32.02328966521106	31.87772925764192	36.098981077147016
P1303	instrument	468	184	297	49.31506849315068	19.38883034773446	31.29610115911486
P131	located in the administrative territorial entity	318	232	331	36.095346197502835	26.333711691259932	37.57094211123723
P136	genre	390	467	74	41.890440386680986	50.161117078410314	7.9484425349087005
P1376	capital of	35	148	50	15.021459227467812	63.51931330472103	21.459227467811157
P138	named after	146	347	149	22.741433021806852	54.04984423676012	23.20872274143302
P140	religion	140	289	44	29.59830866807611	61.09936575052854	9.30232558139535
P1412	languages spoken, written or signed	241	556	172	24.871001031991746	57.378740970072236	17.750257997936018
P159	headquarters location	314	326	327	32.47156153050672	33.71251292657704	33.81592554291623
P17	country	282	321	327	30.322580645161292	34.516129032258064	35.16129032258065
P176	manufacturer	139	697	137	14.285714285714286	71.63412127440904	14.08016443987667
P178	developer	156	257	178	26.395939086294415	43.48561759729272	30.11844331641286
P19	place of birth	249	242	453	26.377118644067796	25.635593220338983	47.98728813559322
P190	twinned administrative body	108	553	331	10.887096774193548	55.74596774193548	33.36693548387097
P20	place of death	323	275	355	33.892969569779645	28.856243441762853	37.250786988457506
P264	record label	189	196	44	44.05594405594405	45.687645687645684	10.256410256410257
P27	country of citizenship	357	306	303	36.95652173913044	31.677018633540374	31.366459627329192
P276	location	342	284	332	35.69937369519833	29.64509394572025	34.65553235908142
P279	subclass of	265	417	282	27.489626556016596	43.25726141078838	29.25311203319502
P30	continent	135	746	94	13.846153846153847	76.51282051282051	9.64102564102564
P31	instance of	270	339	313	29.284164859002168	36.767895878524946	33.947939262472886
P36	capital	181	317	204	25.783475783475783	45.15669515669516	29.05982905982906
P361	part of	371	209	352	39.8068669527897	22.42489270386266	37.76824034334764
P364	original language of film or TV show	311	322	223	36.33177570093458	37.61682242990654	26.05140186915888
P37	official language	256	453	257	26.501035196687372	46.8944099378882	26.60455486542443
P39	position held	484	306	102	54.26008968609865	34.30493273542601	11.434977578475337
P407	language of work or name	208	485	184	23.71721778791334	55.302166476624855	20.9806157354618
P413	position played on team / speciality	488	265	199	51.260504201680675	27.83613445378151	20.903361344537814
P449	original network	450	279	151	51.13636363636363	31.704545454545453	17.15909090909091
P463	member of	54	100	71	24.0	44.44444444444444	31.555555555555557
P47	shares border with	365	173	382	39.67391304347826	18.804347826086957	41.52173913043478
P495	country of origin	344	259	306	37.843784378437846	28.492849284928493	33.663366336633665
P527	has part	374	196	406	38.31967213114754	20.081967213114755	41.59836065573771
P530	diplomatic relation	229	504	263	22.991967871485944	50.602409638554214	26.40562248995984
P740	location of formation	221	194	521	23.61111111111111	20.726495726495727	55.662393162393165
P937	work location	321	292	341	33.64779874213836	30.60796645702306	35.744234800838576
mean	 	10784	13380	9853	31.701796160743157	39.333274539200985	28.964929300055854
